"","x"
"V1",-0.0510024625997032
"V2",-0.0951416709501813
"V3",-0.113318091779394
"V4",-0.131156001926981
"V5",0.0241907686508021
"V6",-0.0296726249444234
"V7",-0.00217522387531129
"V8",0.0410879516432645
"V9",0.0171847678536531
"V10",-0.0149722918222594
"V11",0.00921193101010534
"V12",-0.0795262015727521
"V13",-0.0237902897884977
"V14",-0.0626527855635533
"V15",-0.0718482893843078
"V16",-0.0692591984026678
"V17",0.00964852143079043
"V18",-0.0975348441371703
"V19",-0.0145387173547308
"V20",0.00948467177954399
"V21",-0.063012629679818
"V22",0.0138120996353152
"V23",0.0127948319313513
"V24",0.0280139630354681
"V25",-0.0773989446933778
"V26",-0.117073340158469
"V27",-0.0375078432679772
"V28",0.0815250261705185
"V29",0.0928008032174283
"V30",-0.00263175705106616
"V31",0.0382336883403426
"V32",0.0170382712786155
"V33",0.228413880996332
"V34",0.0205681622800611
"V35",-0.173216868195415
"V36",0.0444234400020283
"V37",0.030665115894759
"V38",0.13601697570619
"V39",-0.10475878342917
"V40",-0.128395620020348
"V41",0.0928477940154216
"V42",0.115954776972274
"V43",0.0308227006511389
"V44",-0.0765483039108538
"V45",-0.0127805347397628
"V46",0.01028487282502
"V47",0.0955211777910867
"V48",0.0128854946273674
"V49",0.189543973661424
"V50",-0.0351182505009191
"V51",0.0144151945876206
"V52",0.075264319890014
"V53",0.046863732654901
"V54",-0.117833245598935
"V55",-0.0493006055816169
"V56",-0.0598922867828169
"V57",0.00610137957155171
"V58",-0.0876942197221681
"V59",0.0553269016932198
"V60",-0.0429652627058429
"V61",-0.047345705604697
"V62",-0.12443644176975
"V63",0.0534426210226841
"V64",0.159214557973797
"V65",-0.107334518466274
"V66",-0.0655053294411316
"V67",-0.13241708696051
"V68",0.0152881788746869
"V69",0.171731185946051
"V70",0.0321827016939123
"V71",0.215377063716365
"V72",-0.0283598945081917
"V73",-0.152467086638317
"V74",-0.0763699966030413
"V75",-0.106901228978266
"V76",-0.0973615042679703
"V77",-0.0476655563273891
"V78",0.168327885022327
"V79",0.135996035756636
"V80",0.00403077817074773
"V81",0.0614668369779621
"V82",0.0476505619192514
"V83",-0.132900078687298
"V84",-0.026192889780228
"V85",-0.121276860872265
"V86",-0.100083788589455
"V87",-0.0521254703145483
"V88",-0.0119688505984585
"V89",-0.172786220795208
"V90",0.0810242167225633
"V91",-0.0644472310801341
"V92",-0.126392790459853
"V93",0.123067511119972
"V94",0.108535268032344
"V95",-0.0239936865481207
"V96",-0.0430785909497945
"V97",-0.11442898899734
"V98",-0.145586340851554
"V99",-0.0104665364995184
"V100",-0.188291342490431
"V101",0.0105372231965423
"V102",-0.0997853315799724
"V103",0.0364806212728041
"V104",-0.0533360378461715
"V105",0.0695440426173776
"V106",-0.0134047059581291
"V107",-0.112347321070749
"V108",0.0102421018115757
"V109",-0.0430026683647481
"V110",0.036209980480887
"V111",0.000929725280902917
"V112",0.138568593839346
"V113",0.163049678894516
"V114",0.0110678663282796
"V115",0.0830055351667613
"V116",0.0518721871862233
"V117",0.159728677856037
"V118",0.0967447058407769
"V119",-0.0237623762816541
"V120",-0.0752017216360436
"V121",-0.00587043946215282
"V122",-0.131351790062986
"V123",0.0964452520050028
"V124",-0.0785686429405567
"V125",-0.0163841030726412
"V126",0.0126372344954986
"V127",0.0363883652016469
"V128",0.158043361804909
"V129",0.03288570549316
"V130",-0.0772613456363544
"V131",-0.00512312397638588
"V132",0.0235027141389576
"V133",0.11666544294734
"V134",-0.0595211461859976
"V135",0.111820431320126
"V136",-0.110176749059488
"V137",-0.0275756167657074
"V138",0.12020167080561
"V139",0.0717633582731147
"V140",0.0999747523726748
"V141",0.0185956321368547
"V142",-0.0501850573714859
"V143",0.0883770090352633
"V144",-0.183087282735707
"V145",-0.00546894886562346
"V146",0.0641947149478895
"V147",0.138537624047632
"V148",-0.0397909019571167
"V149",0.153540761235382
"V150",0.000328189260579959
"V151",-0.110072051054777
"V152",0.0310199393500058
"V153",-0.133316621900707
"V154",0.0875526719644786
"V155",-0.0723299840374419
"V156",0.0549232603827639
"V157",-0.0457891125559328
"V158",-0.00175540434890471
"V159",-0.0923165670448527
"V160",0.0870531952529593
"V161",-0.0549135959014471
"V162",-0.0307246326871728
"V163",-0.00119382080663513
"V164",0.0894586037562602
"V165",0.034881203436514
"V166",0.190925783276014
"V167",-0.0294579935898673
"V168",0.0804280446465405
"V169",0.0852888307216033
"V170",0.104995862925471
"V171",-0.186601930521521
"V172",0.091283766512464
"V173",-0.0544087069633815
"V174",-0.0273507613827599
"V175",0.159950266239501
"V176",0.0572051458235941
"V177",0.0224199823431192
"V178",0.12158395217312
"V179",0.0103636640654231
"V180",-0.13396194026953
"V181",0.231721564970039
"V182",-0.00632766610135933
"V183",-0.104503859191819
"V184",-0.126769058932527
"V185",0.00710269438977684
"V186",0.0345490285357354
"V187",-0.158832194451888
"V188",0.0165475334437325
"V189",-0.0421997421077628
"V190",-0.0385201511043585
"V191",0.0626428095378341
"V192",-0.0483430604206048
"V193",-0.105644774231898
"V194",-0.000433091630947088
"V195",-0.0112364576716843
"V196",0.0454163087749771
"V197",-0.090709626900567
"V198",0.0803842689440872
"V199",-0.0819660936549103
"V200",0.0329204705955304
"V201",0.0163335462474255
"V202",-0.0211554031048574
